"Périmètre";"Périmètre.ID";"Périmètre.label";"Année";"Qualification.Candidats.PR";"Qualification.Candidats.PR.femmes";"Qualification.Qualifiés.PR";"Qualification.Qualifiés.PR.femmes";"Qualification.Candidats.MCF";"Qualification.Candidats.MCF.femmes";"Qualification.Qualifiés.MCF";"Qualification.Qualifiés.MCF.femmes";"Concours.Postes.PR";"Concours.Candidats.PR";"Concours.Candidats.PR.femmes";"Concours.Recrutés.PR";"Concours.Recrutés.PR.femmes";"Concours.Postes.MCF";"Concours.Candidats.MCF";"Concours.Candidats.MCF.femmes";"Concours.Recrutés.MCF";"Concours.Recrutés.MCF.femmes";"Concours.Postes.ATER";"Concours.Postes.MCMU";"Concours.Postes.PRMU";"Source";"Effectif.MCF";"Effectif.PR";"Effectif.ETU";"Effectif.EC";"Contexte.TauxEncadrement";"Contexte.EvolRéelle";"Contexte.EvolNécessaire";"kpi.MCF.TauxTension";"kpi.MCF.TauxRéussite";"kpi.MCF.SansPoste";"kpi.MCF.TauxSélection";"kpi.MCF.TauxSélection.Qualification";"kpi.MCF.TauxSélection.Concours";"kpi.MCF.TauxSélection.QualifVsConcours";"kpi.PériodeRenouvellement"
"Ensemble";"Ensemble";"Ensemble";"2009";2473;0,298;1745;0,295;10182;43,8;7087;0,441;1185;2269;0,292;947;0,307;2194;9756;0,449;2036;0,417;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;4,44667274384685;0,208692086920869;7720;0,199960714987232;0,696032213710469;0,28728658106392;0,620058924625583;NA
"Ensemble";"Ensemble";"Ensemble";"2010";2059;0,285;1453;0,282;8671;44,2;6081;0,449;1129;2138;0,286;899;0,297;2101;9706;0,458;1963;0,434;NA;NA;NA;"CNU";36276;19964;1515481;56240;3,71103299876409;NA;NA;4,61970490242742;0,202246033381414;7743;0,226386806596702;0,701303194556568;0,322808748561092;0,613893858079905;28,6500254712175
"Ensemble";"Ensemble";"Ensemble";"2011";2069;0,293;1602;0,295;8996;44;6503;0,433;1162;2420;0,279;970;0,319;1989;9918;0,464;1881;0,448;NA;NA;NA;"CNU";36375;20071;1527418;56446;3,6955175335108;NA;NA;4,98642533936652;0,189655172413793;8037;0,209092930191196;0,72287683414851;0,28925111487006;0,649613492621223;30,0085061137693
"Ensemble";"Ensemble";"Ensemble";"2012";2092;0,304;1630;0,306;9089;45,2;6689;0,445;1075;2434;0,295;883;0,293;1852;9697;0,465;1742;0,452;NA;NA;NA;"CNU";36368;20245;1543134;56613;3,66870278277842;NA;NA;5,23596112311015;0,179643188615036;7955;0,191660248652217;0,735944548355155;0,260427567648378;0,673336055532871;32,4988518943743
"Ensemble";"Ensemble";"Ensemble";"2013";2091;0,332;1657;0,337;9190;45,1;6799;0,439;817;2072;0,303;717;0,317;1675;9859;0,459;1593;0,465;NA;NA;NA;"CNU";36555;20353;1539055;56908;3,69759365324826;NA;NA;5,88597014925373;0,161578253372553;8266;0,173340587595212;0,739825897714907;0,234299161641418;0,685270501513755;35,7237915881984
"Ensemble";"Ensemble";"Ensemble";"2014";2030;0,334;1591;0,339;9123;46,3;6767;0,459;802;2084;0,314;711;0,34;1447;9680;0,463;1393;0,447;NA;NA;NA;"CNU";36546;20344;1566392;56890;3,63191333970041;NA;NA;6,68970283344851;0,143904958677686;8287;0,152691000767291;0,741751616792722;0,20585192847643;0,695213454075032;40,8399138549892
"Ensemble";"Ensemble";"Ensemble";"2015";2579;0,371;1784;0,345;8764;46,1;6493;0,458;779;2188;0,325;689;0,363;1299;9497;0,469;1256;0,469;NA;NA;NA;"CNU";36184;20252;1606869;56436;3,51217180740932;NA;NA;7,31100846805235;0,132252290196904;8241;0,143313555454131;0,740871748060246;0,193439088248883;0,697522642514651;44,9331210191083
"Ensemble";"Ensemble";"Ensemble";"2016";2293;0,369;1634;0,346;8472;46,4;6426;0,457;794;2114;0,328;704;0,374;1328;9507;0,474;1287;0,503;NA;NA;NA;"CNU";36377;20308;1620101;56685;3,49885593552501;NA;NA;7,15888554216868;0,135373934995267;8220;0,151912181303116;0,758498583569405;0,200280112044818;0,715240083507307;44,044289044289
"Ensemble";"Ensemble";"Ensemble";"2017";2308;0,351;1666;0,361;8143;46,9;6122;0,465;707;2035;0,337;635;0,395;1254;9034;0,477;1188;0,474;NA;NA;NA;"CNU";35643;20037;1637769;55680;3,39974685074635;NA;NA;7,20414673046252;0,131503210095196;7846;0,145892177330222;0,751811371730321;0,194054230643581;0,70941768511862;46,8686868686869
"Ensemble";"Ensemble";"Ensemble";"2018";2330;0,349;1802;0,345;8148;46,5;6042;0,466;578;1908;0,345;528;0,371;1189;8540;0,477;1108;0,465;NA;NA;NA;"CNU";35487;20020;1663237;55507;3,33728747015609;NA;NA;7,1825063078217;0,129742388758782;7432;0,135984290623466;0,741531664212077;0,183382985766303;0,700852272727273;50,0965703971119
"Ensemble";"Ensemble";"Ensemble";"2019";2225;0,349;1704;0,347;8359;46;6141;0,456;566;1908;0,342;524;0,347;1070;7958;0,474;1018;0,486;NA;NA;NA;"CNU";35461;20077;1686019;55538;3,29403168054453;NA;NA;7,43738317757009;0,127921588338779;6940;0,121784902500299;0,73465725565259;0,165771047060739;0,697861326794715;54,5559921414538
"Ensemble";"Ensemble";"Ensemble";"2020";2338;0,363;1739;0,365;8387;46,3;5998;0,461;580;2004;0,355;542;0,387;1155;8508;0,472;1104;0,481;NA;NA;NA;"CNU";35269;20100;1701951;55369;3,25326639838632;NA;NA;7,36623376623377;0,129760225669958;7404;0,131632288064862;0,715154405627757;0,184061353784595;0,671975834134285;50,1530797101449
"Ensemble";"Ensemble";"Ensemble";"2021";501;0,267;359;0,284;8195;45,5;5953;0,459;598;2225;0,358;555;0,42;1106;8504;0,457;1065;0,467;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;7,68896925858951;0,125235183443086;7439;0,129957291031117;0,726418547895058;0,178901394254997;0,685553997194951;NA
"Ensemble";"Ensemble";"Ensemble";"2022";394;0,317;269;0,286;7338;45,2;5342;0,452;607;2011;0,356;569;0,402;1351;8230;0,45;1270;0,52;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;6,09178386380459;0,154313487241798;6960;0,173071681657127;0,72799127827746;0,237738674653688;0,671061305207647;NA
"Ensemble";"Ensemble";"Ensemble";"2023";361;0,285;247;0,263;7235;46,6;5358;0,463;631;1895;0,354;572;0,413;1567;8110;0,45;1436;0,46;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;5,17549457562221;0,177065351418002;6674;0,198479612992398;0,740566689702833;0,268010451661068;0,676323504052423;NA
"Ensemble";"Ensemble";"Ensemble";"2024";NA;NA;NA;NA;NA;NA;NA;NA;693;NA;NA;NA;NA;1557;NA;NA;NA;NA;NA;NA;NA;"Galaxie";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ensemble";"Ensemble";"Ensemble";"2025";NA;NA;NA;NA;NA;NA;NA;NA;364;NA;NA;NA;NA;892;NA;NA;NA;NA;767;5;3;"Galaxie";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Grande discipline";"DEG";"Droit éco gestion";"2009";33;0,28;6;0,333;1352;46;555;0,474;177;140;0,321;107;0,299;372;1095;0,472;330;0,476;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;2,94354838709677;0,301369863013699;765;0,244082840236686;0,410502958579882;0,594594594594595;0,220156555772994;NA
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2009";709;0,415;484;0,438;3767;53,3;2345;0,548;441;695;0,424;345;0,4;724;3985;0,553;687;0,553;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;5,50414364640884;0,172396486825596;3298;0,182373241306079;0,622511282187417;0,292963752665245;0,538311688311688;NA
"Grande discipline";"Pharma";"Pharmacie";"2009";63;0,436;25;0,6;514;56,7;378;0,556;22;34;0,324;19;0,474;70;382;0,521;66;0,606;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;5,45714285714286;0,172774869109948;316;0,1284046692607;0,735408560311284;0,174603174603175;0,696428571428571;NA
"Grande discipline";"ST";"Sciences et techniques";"2009";1740;0,247;1244;0,236;5429;36,3;4206;0,372;545;1447;0,227;476;0,235;1028;5390;0,371;953;0,285;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;5,2431906614786;0,176808905380334;4437;0,175538773254743;0,774728310922822;0,226581074655254;0,726764968722073;NA
"Grande discipline";"DEG";"Droit éco gestion";"2010";25;0,254;13;0,231;1185;47,6;525;0,531;186;149;0,262;105;0,295;392;1077;0,489;352;0,5;NA;NA;NA;"CNU";5183;2253;449585;7436;1,65396977212318;NA;NA;2,74744897959184;0,326833797585887;725;0,29704641350211;0,443037974683544;0,67047619047619;0,207683073229292;21,125
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2010";615;0,396;400;0,408;3202;54,5;1998;0,572;452;728;0,435;354;0,415;695;4071;0,57;663;0,566;NA;NA;NA;"CNU";10505;4390;491728;14895;3,02911365633033;NA;NA;5,85755395683453;0,162859248341931;3408;0,207058088694566;0,623985009369144;0,331831831831832;0,525797558093738;22,4660633484163
"Grande discipline";"Pharma";"Pharmacie";"2010";37;0,45;15;0,467;367;59,3;236;0,627;21;36;0,417;17;0,471;62;328;0,555;58;0,569;NA;NA;NA;"CNU";1228;584;22796;1812;7,94876294086682;NA;NA;5,29032258064516;0,176829268292683;270;0,158038147138965;0,643051771117166;0,245762711864407;0,576051779935275;31,2413793103448
"Grande discipline";"ST";"Sciences et techniques";"2010";1434;0,235;1036;0,231;4613;36,1;3581;0,364;470;1271;0,199;423;0,191;952;5270;0,367;890;0,3;NA;NA;NA;"CNU";16852;7846;371050;24698;6,65624578897723;NA;NA;5,53571428571429;0,16888045540797;4380;0,192933015391285;0,7762844136137;0,248533929070092;0,722804190169218;27,7505617977528
"Grande discipline";"DEG";"Droit éco gestion";"2011";18;0,278;8;0,375;1245;46,6;558;0,509;181;154;0,286;111;0,297;375;1188;0,503;336;0,515;NA;NA;NA;"CNU";5192;2295;454595;7487;1,64696048130754;NA;NA;3,168;0,282828282828283;852;0,269879518072289;0,448192771084337;0,602150537634409;0,244224422442244;22,2827380952381
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2011";666;0,405;477;0,43;3237;54,7;2061;0,552;451;877;0,388;372;0,419;686;4575;0,57;655;0,595;NA;NA;NA;"CNU";10576;4384;494892;14960;3,02288176006078;NA;NA;6,66909620991254;0,143169398907104;3920;0,202347852950263;0,636700648748841;0,317806889859292;0,544539116963594;22,8396946564886
"Grande discipline";"Pharma";"Pharmacie";"2011";38;0,474;18;0,444;401;56,1;297;0,586;23;49;0,429;21;0,571;50;379;0,557;49;0,755;NA;NA;NA;"CNU";1215;582;23277;1797;7,72006701894574;NA;NA;7,58;0,129287598944591;330;0,122194513715711;0,740648379052369;0,164983164983165;0,704545454545455;36,6734693877551
"Grande discipline";"ST";"Sciences et techniques";"2011";1401;0,236;1109;0,234;4852;35,9;3900;0,357;507;1384;0,204;466;0,232;878;4558;0,342;842;0,289;NA;NA;NA;"CNU";16913;7910;372219;24823;6,6689234026205;NA;NA;5,19134396355353;0,184730144800351;3716;0,173536685902721;0,803792250618302;0,215897435897436;0,762593516209476;29,4809976247031
"Grande discipline";"DEG";"Droit éco gestion";"2012";37;0,243;8;0,125;1324;46,5;611;0,46;174;266;0,346;90;0,267;398;1220;0,47;356;0,494;NA;NA;NA;"CNU";5249;2310;458294;7559;1,64937791024975;NA;NA;3,06532663316583;0,291803278688525;864;0,268882175226586;0,461480362537764;0,582651391162029;0,263429752066116;21,2331460674157
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2012";662;0,411;473;0,427;3445;56,4;2258;0,587;428;849;0,425;368;0,424;630;4557;0,567;601;0,589;NA;NA;NA;"CNU";10553;4446;500821;14999;2,99488240309412;NA;NA;7,23333333333333;0,131885012069344;3956;0,174455732946299;0,65544267053701;0,266164747564216;0,582630098452883;24,9567387687188
"Grande discipline";"Pharma";"Pharmacie";"2012";46;0,457;17;0,471;428;55,8;288;0,538;25;45;0,4;22;0,5;50;375;0,499;49;0,531;NA;NA;NA;"CNU";1231;582;23024;1813;7,87439193884642;NA;NA;7,5;0,130666666666667;326;0,114485981308411;0,672897196261682;0,170138888888889;0,630606860158311;37
"Grande discipline";"ST";"Sciences et techniques";"2012";1407;0,247;1144;0,253;4691;36,6;3855;0,361;448;1302;0,194;403;0,169;774;4355;0,348;736;0,315;NA;NA;NA;"CNU";16920;7987;373093;24907;6,67581541331518;NA;NA;5,6266149870801;0,169001148105626;3619;0,156896184182477;0,821786399488382;0,190920881971466;0,788621997471555;33,8410326086956
"Grande discipline";"DEG";"Droit éco gestion";"2013";30;0,2;7;0,286;1338;46,9;600;0,467;118;141;0,284;90;0,311;371;1297;0,478;346;0,503;NA;NA;NA;"CNU";5290;2328;462137;7618;1,6484289290838;NA;NA;3,49595687331536;0,266769468003084;951;0,258594917787743;0,448430493273543;0,576666666666667;0,256048387096774;22,0173410404624
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2013";629;0,458;454;0,498;3508;56;2380;0,563;351;810;0,427;310;0,426;635;4727;0,564;602;0,615;NA;NA;NA;"CNU";10663;4425;521134;15088;2,8952246447171;NA;NA;7,44409448818898;0,127353501163529;4125;0,171607753705815;0,678449258836944;0,252941176470588;0,611837577426015;25,063122923588
"Grande discipline";"Pharma";"Pharmacie";"2013";40;0,35;21;0,429;334;63,2;235;0,609;25;41;0,293;23;0,261;30;299;0,515;30;0,5;NA;NA;NA;"CNU";1194;580;22746;1774;7,79917348105161;NA;NA;9,96666666666667;0,100334448160535;269;0,0898203592814371;0,703592814371258;0,127659574468085;0,674342105263158;59,1333333333333
"Grande discipline";"ST";"Sciences et techniques";"2013";1444;0,276;1187;0,273;4740;36,3;3889;0,357;323;1100;0,21;294;0,207;639;4237;0,334;615;0,294;NA;NA;NA;"CNU";16995;8062;381689;25057;6,56476869912416;NA;NA;6,63067292644757;0,145149870191173;3622;0,129746835443038;0,820464135021097;0,158138338904603;0,79369696969697;40,7430894308943
"Grande discipline";"DEG";"Droit éco gestion";"2014";19;0,316;9;0,333;1326;47,7;617;0,496;137;159;0,289;104;0,298;315;1252;0,462;304;0,53;NA;NA;NA;"CNU";5330;2326;460206;7656;1,66360282134522;NA;NA;3,97460317460317;0,242811501597444;948;0,229260935143288;0,465309200603318;0,492706645056726;0,306262230919765;25,1842105263158
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2014";672;0,481;500;0,498;3498;56,4;2373;0,566;326;792;0,473;285;0,484;568;4861;0,557;545;0,528;NA;NA;NA;"CNU";10647;4418;542039;15065;2,77932030721037;NA;NA;8,5580985915493;0,112116848385106;4316;0,155803316180675;0,678387650085763;0,229667088074168;0,619031493396546;27,6422018348624
"Grande discipline";"Pharma";"Pharmacie";"2014";37;0,459;18;0,611;373;60,1;279;0,599;24;38;0,368;23;0,391;53;408;0,495;49;0,551;NA;NA;NA;"CNU";1197;582;22852;1779;7,78487659723438;NA;NA;7,69811320754717;0,120098039215686;359;0,131367292225201;0,74798927613941;0,175627240143369;0,709876543209877;36,3061224489796
"Grande discipline";"ST";"Sciences et techniques";"2014";1362;0,261;1083;0,261;4659;38,4;3824;0,384;315;1109;0,199;299;0,214;511;4028;0,345;495;0,295;NA;NA;NA;"CNU";16974;8089;394165;25063;6,35850468712341;NA;NA;7,8825831702544;0,122889771598808;3533;0,10624597553123;0,820776990770552;0,129445606694561;0,799471661863593;50,6323232323232
"Grande discipline";"DEG";"Droit éco gestion";"2015";695;0,481;216;0,449;1366;49,5;649;0,521;182;284;0,394;139;0,388;287;1330;0,483;279;0,548;NA;NA;NA;"CNU";5296;2318;463281;7614;1,64349498468532;NA;NA;4,63414634146341;0,209774436090226;1051;0,204245973645681;0,47510980966325;0,429892141756549;0,340386384544618;27,2903225806452
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2015";638;0,464;478;0,481;3369;55,6;2322;0,569;322;816;0,431;288;0,438;537;4785;0,558;515;0,532;NA;NA;NA;"CNU";10546;4368;567244;14914;2,62920365839039;NA;NA;8,91061452513966;0,107628004179728;4270;0,152864351439596;0,689225289403384;0,221791559000861;0,633146461107218;28,9592233009709
"Grande discipline";"Pharma";"Pharmacie";"2015";45;0,444;26;0,423;365;59,7;268;0,623;15;26;0,269;15;0,267;38;320;0,619;37;0,784;NA;NA;NA;"CNU";1186;579;22736;1765;7,76301900070373;NA;NA;8,42105263157895;0,115625;283;0,101369863013699;0,734246575342466;0,138059701492537;0,704268292682927;47,7027027027027
"Grande discipline";"ST";"Sciences et techniques";"2015";1297;0,265;1079;0,262;4392;37,8;3577;0,374;260;1090;0,227;247;0,267;437;3913;0,349;425;0,313;NA;NA;NA;"CNU";16829;8069;405681;24898;6,13733450666903;NA;NA;8,95423340961098;0,108612317914643;3488;0,0967668488160291;0,814435336976321;0,11881464914733;0,794555079405092;58,5835294117647
"Grande discipline";"DEG";"Droit éco gestion";"2016";462;0,448;146;0,459;1254;46,4;630;0,481;195;308;0,416;159;0,384;282;1341;0,495;275;0,509;NA;NA;NA;"CNU";5361;2335;460641;7696;1,6707153727089;NA;NA;4,75531914893617;0,205070842654735;1066;0,219298245614035;0,502392344497608;0,436507936507937;0,362614913176711;27,9854545454545
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2016";638;0,505;475;0,516;3377;56,1;2391;0,571;328;811;0,459;291;0,495;549;4836;0,573;528;0,642;NA;NA;NA;"CNU";10624;4403;577638;15027;2,60145627538354;NA;NA;8,80874316939891;0,109181141439206;4308;0,156351791530945;0,708024874148653;0,220828105395232;0,653913653913654;28,4602272727273
"Grande discipline";"Pharma";"Pharmacie";"2016";25;0,44;19;0,368;311;61,4;242;0,607;16;34;0,353;15;0,467;42;339;0,478;41;0,61;NA;NA;NA;"CNU";1181;578;23207;1759;7,57960960055156;NA;NA;8,07142857142857;0,12094395280236;298;0,131832797427653;0,778135048231511;0,169421487603306;0,744444444444444;42,9024390243902
"Grande discipline";"ST";"Sciences et techniques";"2016";1244;0,245;1017;0,251;4165;38,2;3474;0,37;255;979;0,19;239;0,213;455;3788;0,341;443;0,325;NA;NA;NA;"CNU";16854;8066;416099;24920;5,98895935822965;NA;NA;8,32527472527473;0,116948257655755;3345;0,106362545018007;0,834093637454982;0,127518710420265;0,814347125201505;56,2528216704289
"Grande discipline";"DEG";"Droit éco gestion";"2017";407;0,474;139;0,496;1277;45;635;0,461;165;301;0,435;136;0,456;296;1360;0,488;276;0,522;NA;NA;NA;"CNU";5254;2353;461974;7607;1,64662946399581;NA;NA;4,59459459459459;0,202941176470588;1084;0,216131558339859;0,497259201252937;0,434645669291339;0,358641358641359;27,5615942028986
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2017";600;0,493;443;0,497;3447;56,6;2397;0,575;282;760;0,468;254;0,512;509;4770;0,57;486;0,566;NA;NA;NA;"CNU";10377;4278;582592;14655;2,5154825332308;NA;NA;9,3713163064833;0,10188679245283;4284;0,140992167101828;0,69538729329852;0,202753441802253;0,645390070921986;30,1543209876543
"Grande discipline";"Pharma";"Pharmacie";"2017";17;0,588;10;0,5;294;59,2;225;0,564;9;21;0,333;8;0,125;32;267;0,502;31;0,516;NA;NA;NA;"CNU";1173;555;23434;1728;7,37390116924127;NA;NA;8,34375;0,116104868913858;236;0,105442176870748;0,76530612244898;0,137777777777778;0,737642585551331;55,741935483871
"Grande discipline";"ST";"Sciences et techniques";"2017";1347;0,283;1090;0,289;3778;38;3163;0,378;251;987;0,211;237;0,245;417;3282;0,331;395;0,316;NA;NA;NA;"CNU";16591;8014;422619;24605;5,82202882501733;NA;NA;7,8705035971223;0,120353443022547;2887;0,104552673372155;0,83721545791424;0,124881441669301;0,81820869051138;62,2911392405063
"Grande discipline";"DEG";"Droit éco gestion";"2018";312;0,436;95;0,463;1301;45,3;578;0,478;120;255;0,416;100;0,47;253;1340;0,466;233;0,536;NA;NA;NA;"CNU";5209;2381;470787;7590;1,61219404953833;NA;NA;5,29644268774704;0,173880597014925;1107;0,179093005380477;0,444273635664873;0,403114186851211;0,323033707865169;32,5751072961373
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2018";695;0,485;529;0,493;3495;56,3;2414;0,574;243;766;0,49;222;0,482;519;4578;0,565;480;0,55;NA;NA;NA;"CNU";10387;4236;589978;14623;2,47856699741346;NA;NA;8,82080924855491;0,104849279161206;4098;0,137339055793991;0,690701001430615;0,19884009942005;0,641459369817579;30,4645833333333
"Grande discipline";"Pharma";"Pharmacie";"2018";42;0,571;19;0,579;271;60,9;210;0,6;12;29;0,414;12;0,25;27;218;0,569;25;0,6;NA;NA;NA;"CNU";1167;565;23727;1732;7,29970076284402;NA;NA;8,07407407407407;0,114678899082569;193;0,0922509225092251;0,774907749077491;0,119047619047619;0,752032520325203;69,28
